Operator,Indoor_Outdoor_Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Indoor,4G,4,Satisfactory,19.02451335,72.84809149,Maharashtra
Idea,Indoor,3G,5,Satisfactory,22.71721167,75.87474667,Madhya Pradesh
RJio,Indoor,4G,5,Satisfactory,-1,-1,
Idea,Indoor,Unknown,4,Satisfactory,19.22921069,72.85956089,Maharashtra
BSNL,Indoor,4G,4,Satisfactory,-1,-1,
BSNL,Indoor,4G,5,Satisfactory,12.750605,77.8454152,Tamil Nadu
BSNL,Indoor,4G,4,Satisfactory,12.7498889,77.8449504,Tamil Nadu
BSNL,Indoor,4G,4,Satisfactory,12.7503598,77.8455073,Tamil Nadu
BSNL,Indoor,4G,4,Satisfactory,12.7503598,77.8455073,Tamil Nadu
BSNL,Indoor,4G,4,Satisfactory,12.7503598,77.8455073,Tamil Nadu
Idea,Outdoor,Unknown,4,Satisfactory,-1,-1,
BSNL,Indoor,4G,4,Satisfactory,12.7354769,77.8264306,Tamil Nadu
BSNL,Indoor,4G,5,Satisfactory,12.7503598,77.8455073,Tamil Nadu
BSNL,Outdoor,4G,4,Satisfactory,12.6832412,77.87870174,Tamil Nadu
BSNL,Indoor,4G,4,Satisfactory,12.6832412,77.87870174,Tamil Nadu
BSNL,Outdoor,4G,4,Satisfactory,12.6832412,77.87870174,Tamil Nadu
BSNL,Indoor,4G,4,Satisfactory,12.6832412,77.87870174,Tamil Nadu
BSNL,Outdoor,4G,4,Satisfactory,12.68349274,77.87891139,Tamil Nadu
BSNL,Outdoor,4G,4,Satisfactory,12.68349274,77.87891139,Tamil Nadu
BSNL,Outdoor,4G,4,Satisfactory,12.68349274,77.87891139,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,20.28782899,85.86483224,Odisha
Vodafone,Travelling,3G,5,Satisfactory,28.9677704,77.0271202,Haryana
RJio,Indoor,4G,4,Satisfactory,20.003349,85.6443336,Odisha
RJio,Indoor,4G,1,Satisfactory,28.39781069,77.41221615,Haryana
Vodafone,Outdoor,4G,5,Satisfactory,19.20696393,73.00276242,Maharashtra
RJio,Indoor,4G,4,Satisfactory,-1,-1,
Vodafone,Indoor,Unknown,4,Satisfactory,29.2119706,78.9635682,Uttarakhand
RJio,Indoor,4G,4,Satisfactory,26.81044333,80.89074,Uttar Pradesh
RJio,Indoor,4G,3,Satisfactory,13.0296095,80.2627581,Tamil Nadu
Vodafone,Travelling,3G,3,Satisfactory,31.32936486,75.59352364,Punjab
Vodafone,Indoor,3G,3,Satisfactory,23.80778,87.80579333,West Bengal
RJio,Indoor,4G,5,Satisfactory,25.62596263,85.09411065,Bihar
RJio,Outdoor,4G,5,Satisfactory,23.06571877,72.55931775,Gujarat
Airtel,Indoor,3G,4,Satisfactory,12.81619889,77.68601875,Karnataka
RJio,Outdoor,4G,5,Satisfactory,25.8377217,93.7681831,Nagaland
Idea,Indoor,4G,1,Poor Network,22.7143074,75.873752,Madhya Pradesh
RJio,Outdoor,4G,4,Satisfactory,20.65877575,75.34914542,Maharashtra
Airtel,Outdoor,3G,4,Satisfactory,26.75040419,79.22161415,Uttar Pradesh
RJio,Indoor,4G,3,Satisfactory,13.0296095,80.2627581,Tamil Nadu
BSNL,Indoor,Unknown,5,Satisfactory,12.91031167,80.09570667,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,12.8818838,77.7346569,Karnataka
Airtel,Indoor,Unknown,1,Poor Network,28.52117758,77.08168983,Haryana
RJio,Outdoor,4G,5,Satisfactory,26.3036372,86.73686455,Bihar
Airtel,Outdoor,4G,5,Satisfactory,11.01737669,76.92036076,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,22.79542257,86.23179104,Jharkhand
RJio,Indoor,4G,5,Satisfactory,12.9672273,77.5425729,Karnataka
Tata,Indoor,Unknown,5,Satisfactory,12.967868,77.54321219,Karnataka
Idea,Indoor,Unknown,4,Satisfactory,19.4202594,72.81856374,Maharashtra
Airtel,Indoor,4G,1,Poor Network,13.0102814,77.7033824,Karnataka
Airtel,Indoor,3G,2,Poor Network,13.0106482,77.703372,Karnataka
Airtel,Outdoor,3G,4,Satisfactory,28.62590026,77.02795629,NCT
Airtel,Indoor,3G,4,Satisfactory,13.0173686,77.6853533,Karnataka
Airtel,Indoor,2G,1,Call Dropped,-1,-1,
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,5,Satisfactory,29.67280096,77.00746917,Haryana
RJio,Travelling,4G,4,Satisfactory,23.27270342,77.38279394,Madhya Pradesh
Vodafone,Indoor,4G,4,Satisfactory,28.64352992,77.45091642,Uttar Pradesh
Idea,Indoor,2G,5,Satisfactory,22.7026155,73.1166136,Gujarat
RJio,Indoor,4G,5,Satisfactory,20.29594775,85.85997525,Odisha
RJio,Indoor,4G,5,Satisfactory,-1,-1,
RJio,Indoor,4G,5,Satisfactory,13.0419109,77.6121254,Karnataka
Idea,Indoor,Unknown,4,Satisfactory,19.4202594,72.81856374,Maharashtra
RJio,Indoor,4G,4,Satisfactory,-1,-1,
Airtel,Indoor,3G,5,Satisfactory,13.02635641,77.5717463,Karnataka
Airtel,Travelling,3G,5,Satisfactory,13.02635641,77.5717463,Karnataka
Airtel,Indoor,3G,1,Call Dropped,-1,-1,
RJio,Travelling,4G,2,Satisfactory,23.57299028,87.30835137,West Bengal
RJio,Indoor,4G,3,Satisfactory,13.0296095,80.2627581,Tamil Nadu
RJio,Indoor,4G,2,Call Dropped,13.0296095,80.2627581,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,-1,-1,
Idea,Indoor,2G,5,Satisfactory,-1,-1,
Idea,Indoor,3G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,28.52117758,77.08168983,Haryana
RJio,Indoor,4G,3,Satisfactory,-1,-1,
RJio,Indoor,4G,3,Satisfactory,-1,-1,
RJio,Indoor,4G,3,Satisfactory,-1,-1,
RJio,Indoor,4G,3,Satisfactory,10.8157561,79.8407309,Tamil Nadu
RJio,Indoor,4G,3,Satisfactory,10.8157561,79.8407309,Tamil Nadu
Vodafone,Outdoor,4G,1,Call Dropped,25.7668539,84.17054,Bihar
Idea,Indoor,3G,1,Satisfactory,23.23343815,77.40599946,Madhya Pradesh
Idea,Indoor,3G,1,Satisfactory,23.23343815,77.40599946,Madhya Pradesh
Idea,Indoor,3G,2,Satisfactory,23.23343815,77.40599946,Madhya Pradesh
Idea,Indoor,2G,2,Satisfactory,23.23343815,77.40599946,Madhya Pradesh
Idea,Indoor,4G,1,Satisfactory,23.23343815,77.40599946,Madhya Pradesh
Idea,Indoor,3G,2,Satisfactory,23.23343815,77.40599946,Madhya Pradesh
Idea,Indoor,4G,2,Call Dropped,23.23343815,77.40599946,Madhya Pradesh
Idea,Outdoor,2G,2,Satisfactory,23.23343815,77.40599946,Madhya Pradesh
Idea,Outdoor,3G,1,Satisfactory,22.9964172,77.0545238,Madhya Pradesh
Idea,Outdoor,2G,2,Satisfactory,22.9964172,77.0545238,Madhya Pradesh
BSNL,Outdoor,3G,4,Satisfactory,13.030879,77.5710764,Karnataka
RJio,Indoor,4G,2,Poor Network,28.52117758,77.08168983,Haryana
RJio,Indoor,4G,5,Satisfactory,20.28796535,85.86501514,Odisha
RJio,Indoor,4G,4,Satisfactory,11.15820994,77.3021585,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,20.28796535,85.86501514,Odisha
RJio,Outdoor,4G,4,Satisfactory,20.65877575,75.34914542,Maharashtra
Idea,Indoor,Unknown,2,Call Dropped,21.4117371,78.90694,Maharashtra
RJio,Indoor,4G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,4,Satisfactory,-1,-1,
BSNL,Indoor,3G,1,Poor Network,23.189381,77.4174622,Madhya Pradesh
Airtel,Travelling,3G,3,Satisfactory,16.47072895,80.61496568,Andhra Pradesh
Airtel,Travelling,Unknown,5,Satisfactory,28.5808707,77.151448,NCT
RJio,Indoor,4G,5,Satisfactory,20.28796535,85.86501514,Odisha
RJio,Indoor,4G,5,Satisfactory,19.19255168,83.4167757,Odisha
Airtel,Indoor,Unknown,4,Satisfactory,26.31303728,86.84679788,Bihar
RJio,Travelling,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,2,Call Dropped,13.0296095,80.2627581,Tamil Nadu
BSNL,Indoor,Unknown,4,Satisfactory,-1,-1,
Idea,Indoor,Unknown,5,Satisfactory,23.110495,72.58515167,Gujarat
RJio,Travelling,4G,3,Satisfactory,21.4205386,78.9020748,Maharashtra
Airtel,Indoor,Unknown,2,Call Dropped,17.49839773,78.32461659,Telangana
RJio,Indoor,4G,1,Call Dropped,17.49839773,78.32461659,Telangana
Airtel,Indoor,4G,2,Satisfactory,17.49839773,78.32461659,Telangana
Airtel,Indoor,Unknown,1,Poor Network,-1,-1,
RJio,Indoor,4G,5,Satisfactory,29.67280096,77.00746917,Haryana
Idea,Indoor,4G,4,Satisfactory,17.3686122,78.4283332,Telangana
RJio,Indoor,4G,5,Satisfactory,29.67280096,77.00746917,Haryana
Airtel,Travelling,Unknown,5,Satisfactory,29.21659871,78.96911951,Uttarakhand
Airtel,Travelling,2G,2,Call Dropped,17.294515,74.09040833,Maharashtra
Airtel,Indoor,3G,1,Call Dropped,25.40733598,83.15708258,Uttar Pradesh
Airtel,Indoor,3G,1,Call Dropped,0,0,
RJio,Indoor,4G,5,Satisfactory,25.62586332,85.09432339,Bihar
RJio,Indoor,4G,5,Satisfactory,-1,-1,
Idea,Indoor,2G,2,Satisfactory,10.04148298,77.17513461,Kerala
RJio,Outdoor,4G,4,Satisfactory,23.8034927,86.4498829,Jharkhand
Airtel,Indoor,4G,1,Call Dropped,13.0107529,77.703382,Karnataka
Airtel,Indoor,Unknown,5,Satisfactory,28.5900982,76.9970912,NCT
Vodafone,Indoor,2G,1,Poor Network,13.03837204,80.21244898,Tamil Nadu
Vodafone,Indoor,2G,4,Satisfactory,13.03837204,80.21244898,Tamil Nadu
Vodafone,Indoor,2G,4,Satisfactory,13.03837204,80.21244898,Tamil Nadu
Vodafone,Indoor,2G,5,Satisfactory,13.03837204,80.21244898,Tamil Nadu
Vodafone,Indoor,2G,4,Satisfactory,13.03837204,80.21244898,Tamil Nadu
Vodafone,Indoor,2G,4,Satisfactory,-1,-1,
Vodafone,Indoor,2G,4,Satisfactory,-1,-1,
Airtel,Indoor,3G,2,Satisfactory,-1,-1,
Airtel,Indoor,4G,1,Poor Network,13.0107529,77.703382,Karnataka
RJio,Indoor,4G,1,Poor Network,26.76488814,88.44468288,West Bengal
RJio,Outdoor,4G,3,Satisfactory,30.105505,78.28768,Uttarakhand
Vodafone,Outdoor,4G,5,Satisfactory,22.2995444,70.7841296,Gujarat
RJio,Indoor,4G,3,Satisfactory,13.0296095,80.2627581,Tamil Nadu
RJio,Indoor,4G,3,Poor Network,-1,-1,
RJio,Outdoor,4G,4,Satisfactory,23.8034927,86.4498829,Jharkhand
Airtel,Indoor,Unknown,3,Call Dropped,19.0804548,73.0022396,Maharashtra
Vodafone,Indoor,3G,4,Satisfactory,28.6574804,77.435143,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,11.15839526,77.30203046,Tamil Nadu
Vodafone,Indoor,3G,4,Satisfactory,28.6572239,77.4351572,Uttar Pradesh
Airtel,Indoor,Unknown,3,Satisfactory,26.73509061,88.40697417,West Bengal
RJio,Indoor,4G,1,Poor Network,-1,-1,
MTNL,Outdoor,3G,3,Poor Network,19.69019,72.76955,Maharashtra
Airtel,Indoor,3G,1,Satisfactory,-1,-1,
BSNL,Indoor,3G,4,Satisfactory,-1,-1,
Vodafone,Indoor,Unknown,5,Satisfactory,22.63239802,88.37334733,West Bengal
Vodafone,Outdoor,4G,5,Satisfactory,19.20696393,73.00276242,Maharashtra
Vodafone,Outdoor,4G,4,Satisfactory,19.2069762,73.0024832,Maharashtra
Idea,Indoor,4G,1,Satisfactory,22.9964172,77.0545238,Madhya Pradesh
Vodafone,Indoor,2G,4,Satisfactory,28.6574745,77.4351349,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,31.64820857,74.87510489,Punjab
BSNL,Travelling,Unknown,5,Satisfactory,26.22478526,91.69843539,Assam
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Outdoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,4,Satisfactory,12.9911095,77.5494791,Karnataka
RJio,Indoor,4G,1,Poor Network,28.52117758,77.08168983,Haryana
RJio,Indoor,4G,2,Poor Network,28.52117758,77.08168983,Haryana
RJio,Indoor,4G,5,Satisfactory,21.34771676,83.60143793,Odisha
RJio,Outdoor,4G,4,Satisfactory,23.8230583,86.477382,Jharkhand
RJio,Indoor,4G,3,Satisfactory,12.9306059,77.58652424,Karnataka
Airtel,Indoor,3G,1,Satisfactory,17.497098,78.3274265,Telangana
RJio,Indoor,4G,5,Satisfactory,29.67280096,77.00746917,Haryana
Idea,Indoor,3G,1,Satisfactory,22.9964172,77.0545238,Madhya Pradesh
Airtel,Indoor,2G,1,Poor Network,-1,-1,
Tata,Indoor,Unknown,5,Satisfactory,12.96710193,77.54251242,Karnataka
RJio,Indoor,Unknown,3,Call Dropped,17.49646742,78.3966984,Telangana
RJio,Indoor,4G,3,Call Dropped,17.49667425,78.39682245,Telangana
RJio,Indoor,4G,3,Call Dropped,17.49667425,78.39682245,Telangana
RJio,Indoor,4G,3,Call Dropped,17.49667425,78.39682245,Telangana
RJio,Indoor,Unknown,5,Satisfactory,17.49554327,78.39542462,Telangana
RJio,Indoor,4G,5,Satisfactory,17.49554327,78.39542462,Telangana
RJio,Indoor,4G,3,Call Dropped,17.49554327,78.39542462,Telangana
RJio,Travelling,4G,4,Satisfactory,18.78748315,74.29764971,Maharashtra
RJio,Travelling,4G,4,Satisfactory,19.41409467,74.63178159,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,19.38085903,74.85639657,Maharashtra
RJio,Indoor,4G,3,Call Dropped,-1,-1,
RJio,Indoor,4G,5,Satisfactory,15.505192,80.0295642,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5052711,80.031311,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5052711,80.031311,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5038231,80.031311,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5052711,80.031311,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5052711,80.031311,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5054908,80.0313046,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5052871,80.031346,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,-1,-1,
RJio,Indoor,4G,5,Satisfactory,15.5045815,80.0286279,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5045815,80.0286279,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5027529,80.0316603,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5038231,80.031311,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5045815,80.0286279,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5045815,80.0286279,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5052871,80.031346,Andhra Pradesh
RJio,Outdoor,4G,3,Call Dropped,15.5052871,80.031346,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5052871,80.031346,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5061691,80.0351538,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,-1,-1,
RJio,Outdoor,4G,5,Satisfactory,15.5054944,80.0313347,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5040475,80.0366391,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5053863,80.0311713,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5046398,80.0355131,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5040079,80.0366444,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5040079,80.0366444,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5040079,80.0366444,Andhra Pradesh
RJio,Indoor,4G,3,Call Dropped,15.5053863,80.0311713,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5053863,80.0311713,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5053863,80.0311713,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,-1,-1,
RJio,Outdoor,4G,5,Satisfactory,-1,-1,
RJio,Outdoor,4G,5,Satisfactory,-1,-1,
RJio,Outdoor,4G,5,Satisfactory,15.5053721,80.0315085,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5039925,80.0366848,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5039925,80.0366848,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.506633,80.031804,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5051905,80.0294941,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5051905,80.0294941,Andhra Pradesh
Airtel,Outdoor,Unknown,5,Satisfactory,15.5051905,80.0294941,Andhra Pradesh
RJio,Travelling,4G,5,Satisfactory,15.58462639,80.01823514,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,-1,-1,
RJio,Indoor,4G,5,Satisfactory,-1,-1,
RJio,Indoor,4G,5,Satisfactory,15.5053828,80.0313436,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5054944,80.0313347,Andhra Pradesh
RJio,Outdoor,4G,5,Satisfactory,15.5054944,80.0313347,Andhra Pradesh
RJio,Indoor,4G,4,Satisfactory,-1,-1,
RJio,Outdoor,4G,4,Satisfactory,26.02120915,89.99240692,Assam
RJio,Indoor,4G,3,Poor Network,12.94783347,78.86187537,Tamil Nadu
RJio,Indoor,4G,3,Poor Network,12.94803909,78.86192095,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,12.9484969,78.8596126,Tamil Nadu
RJio,Travelling,4G,4,Satisfactory,-1,-1,
Idea,Indoor,Unknown,2,Satisfactory,23.25773093,77.3977995,Madhya Pradesh
RJio,Travelling,4G,4,Satisfactory,-1,-1,
RJio,Outdoor,4G,4,Satisfactory,-1,-1,
RJio,Outdoor,4G,4,Satisfactory,-1,-1,
RJio,Outdoor,4G,5,Satisfactory,17.51303811,78.47571638,Telangana
RJio,Outdoor,4G,4,Satisfactory,23.22885425,77.43089927,Madhya Pradesh
Airtel,Indoor,Unknown,3,Satisfactory,28.6233556,77.0555311,NCT
Vodafone,Indoor,3G,4,Satisfactory,28.6570721,77.434637,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,23.2576908,77.3972444,Madhya Pradesh
Airtel,Indoor,4G,5,Satisfactory,-1,-1,
Vodafone,Indoor,Unknown,4,Satisfactory,22.26026793,73.17980772,Gujarat
Idea,Indoor,Unknown,5,Satisfactory,23.110495,72.58515167,Gujarat
RJio,Indoor,4G,5,Satisfactory,29.67280096,77.00746917,Haryana
Vodafone,Indoor,3G,3,Satisfactory,23.80778,87.80579333,West Bengal
Vodafone,Travelling,4G,5,Satisfactory,23.80778,87.80579333,West Bengal
Vodafone,Indoor,Unknown,4,Satisfactory,22.26026793,73.17980772,Gujarat
Airtel,Indoor,Unknown,1,Poor Network,-1,-1,
RJio,Indoor,4G,5,Satisfactory,29.67280096,77.00746917,Haryana
BSNL,Indoor,Unknown,5,Satisfactory,22.63239802,88.37334733,West Bengal
Airtel,Indoor,4G,4,Satisfactory,19.02711942,72.85084927,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.02711942,72.85084927,Maharashtra
Airtel,Outdoor,3G,4,Satisfactory,19.16916465,72.86442183,Maharashtra
Airtel,Outdoor,3G,4,Satisfactory,19.16916465,72.86442183,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.16916465,72.86442183,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.16916465,72.86442183,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.16916465,72.86442183,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.16916465,72.86442183,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.16916465,72.86442183,Maharashtra
Airtel,Indoor,3G,4,Satisfactory,19.16916465,72.86442183,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,19.37102158,72.82470965,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,19.36993315,72.82636391,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,19.36993315,72.82636391,Maharashtra
Airtel,Outdoor,3G,4,Satisfactory,19.17224115,72.8700491,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.1664224,72.84888,Maharashtra
Airtel,Outdoor,3G,1,Call Dropped,19.05490355,72.84051083,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.05882349,72.85532217,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.05882349,72.85532217,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.05882349,72.85532217,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.05882349,72.85532217,Maharashtra
Airtel,Indoor,3G,4,Satisfactory,19.1720277,72.8701439,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,19.1720277,72.8701439,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,19.17486201,72.86278264,Maharashtra
Airtel,Indoor,3G,4,Satisfactory,19.17486201,72.86278264,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,19.17486201,72.86278264,Maharashtra
Airtel,Indoor,3G,4,Satisfactory,19.17486201,72.86278264,Maharashtra
Airtel,Indoor,3G,1,Poor Network,19.17486201,72.86278264,Maharashtra
Airtel,Indoor,3G,4,Satisfactory,19.17486201,72.86278264,Maharashtra
Airtel,Travelling,3G,4,Satisfactory,19.17486201,72.86278264,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.17329368,72.86864495,Maharashtra
Airtel,Outdoor,3G,4,Satisfactory,19.17329368,72.86864495,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.17329368,72.86864495,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,19.17329368,72.86864495,Maharashtra
Airtel,Outdoor,3G,4,Satisfactory,19.16981416,72.85956331,Maharashtra
Airtel,Outdoor,3G,4,Satisfactory,19.16981416,72.85956331,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,19.17232904,72.86989511,Maharashtra
Airtel,Indoor,3G,4,Satisfactory,19.17232904,72.86989511,Maharashtra
Airtel,Indoor,3G,1,Poor Network,19.17232904,72.86989511,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,19.22876586,72.84076787,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,19.22876586,72.84076787,Maharashtra
Airtel,Indoor,3G,4,Satisfactory,19.22876586,72.84076787,Maharashtra
Airtel,Indoor,3G,1,Call Dropped,19.17517585,72.85953801,Maharashtra
Airtel,Indoor,3G,4,Satisfactory,19.17517585,72.85953801,Maharashtra
Airtel,Indoor,3G,4,Satisfactory,19.17517585,72.85953801,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,19.17517585,72.85953801,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.17517585,72.85953801,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.17517585,72.85953801,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.17517585,72.85953801,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.17517585,72.85953801,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,19.17517585,72.85953801,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,10.01487494,76.31151259,Kerala
Airtel,Outdoor,3G,3,Satisfactory,26.73529134,88.40643057,West Bengal
Vodafone,Indoor,3G,4,Satisfactory,28.657072,77.4346435,Uttar Pradesh
Vodafone,Outdoor,3G,5,Satisfactory,-1,-1,
Vodafone,Outdoor,4G,3,Call Dropped,-1,-1,
Vodafone,Indoor,Unknown,5,Satisfactory,-1,-1,
Vodafone,Indoor,2G,5,Satisfactory,-1,-1,
Vodafone,Indoor,3G,5,Satisfactory,-1,-1,
Vodafone,Indoor,2G,4,Satisfactory,-1,-1,
Airtel,Indoor,3G,1,Satisfactory,17.4971021,78.3274623,Telangana
RJio,Indoor,4G,1,Call Dropped,19.0434112,72.8747313,Maharashtra
RJio,Indoor,4G,1,Poor Network,-1,-1,
RJio,Indoor,4G,1,Poor Network,-1,-1,
